# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.062405099285530596e+01 1.399999999999999911e+00 -1.728065715278862269e-01
1.198808138999999962e+01 1.061213550717982912e+01 1.399999999999999911e+00 -1.728070420057238599e-01
1.197616277999999923e+01 1.060022002852925027e+01 1.399999999999999911e+00 -1.728075083860685646e-01
1.196424417000000062e+01 1.058830455692728378e+01 1.399999999999999911e+00 -1.728079704696782182e-01
1.195232556000000024e+01 1.057638909239775415e+01 1.399999999999999911e+00 -1.728084280543304707e-01
1.194040694999999985e+01 1.056447363496458891e+01 1.399999999999999911e+00 -1.728088809347858024e-01
1.192848833999999947e+01 1.055255818465182927e+01 1.399999999999999911e+00 -1.728093289027453072e-01
1.191656973000000086e+01 1.054064274148362479e+01 1.399999999999999911e+00 -1.728097717468081163e-01
1.190465112000000047e+01 1.052872730548422631e+01 1.399999999999999911e+00 -1.728102092524301248e-01
1.189273250999999831e+01 1.051681187667800543e+01 1.399999999999999689e+00 -1.728106412018848015e-01
1.188081389999999971e+01 1.050489645508943681e+01 1.399999999999999911e+00 -1.728110673742126735e-01
1.186889529000000110e+01 1.049298104074311055e+01 1.399999999999999911e+00 -1.728114875643913528e-01
1.185697667999999894e+01 1.048106563366372335e+01 1.399999999999999911e+00 -1.728119018657914840e-01
1.184505806999999855e+01 1.046915023387609089e+01 1.399999999999999911e+00 -1.728123106132880005e-01
1.183313945999999994e+01 1.045723484140513904e+01 1.399999999999999689e+00 -1.728127141539767264e-01
1.182122085000000133e+01 1.044531945627590552e+01 1.399999999999999911e+00 -1.728131128407447981e-01
1.180930223999999917e+01 1.043340407851354001e+01 1.399999999999999911e+00 -1.728135070323637834e-01
1.179738362999999879e+01 1.042148870814332007e+01 1.399999999999999911e+00 -1.728138970935700902e-01
1.178546502000000018e+01 1.040957334519062449e+01 1.399999999999999911e+00 -1.728142833951367974e-01
1.177354640999999980e+01 1.039765798968095467e+01 1.399999999999999689e+00 -1.728146663139663308e-01
1.176162779999999941e+01 1.038574264163992567e+01 1.399999999999999911e+00 -1.728150462331693726e-01
1.174970918999999903e+01 1.037382730109327689e+01 1.399999999999999911e+00 -1.728154235421563989e-01
1.173779057999999864e+01 1.036191196806686321e+01 1.399999999999999911e+00 -1.728157986367175880e-01
1.172587197000000003e+01 1.034999664258665319e+01 1.399999999999999911e+00 -1.728161719191155243e-01
1.171395335999999965e+01 1.033808132467874152e+01 1.399999999999999689e+00 -1.728165437981684927e-01
1.170203474999999926e+01 1.032616601436934012e+01 1.399999999999999911e+00 -1.728169146893405728e-01
1.169011613999999888e+01 1.031425071168478524e+01 1.399999999999999911e+00 -1.728172850148471384e-01
1.167819753000000027e+01 1.030233541665153041e+01 1.399999999999999911e+00 -1.728176552037304081e-01
1.166627891999999989e+01 1.029042012929615524e+01 1.399999999999999911e+00 -1.728180256919578106e-01
1.165436030999999772e+01 1.027850484964535838e+01 1.399999999999999689e+00 -1.728183969225247640e-01
1.164244169999999912e+01 1.026658957772596992e+01 1.399999999999999911e+00 -1.728187693455391083e-01
