# r12 r13 r23 energy
1.200000000000000000e+01 1.060000000000000142e+01 1.399999999999999911e+00 -1.728894720250132855e-01
1.198808138999999962e+01 1.058808138999999926e+01 1.399999999999999911e+00 -1.728904903134459159e-01
1.197616277999999923e+01 1.057616277999999888e+01 1.399999999999999911e+00 -1.728915106239582999e-01
1.196424417000000062e+01 1.056424417000000027e+01 1.399999999999999911e+00 -1.728925329070872263e-01
1.195232556000000024e+01 1.055232556000000166e+01 1.399999999999999911e+00 -1.728935571124153303e-01
1.194040694999999985e+01 1.054040694999999950e+01 1.399999999999999911e+00 -1.728945831885568274e-01
1.192848833999999947e+01 1.052848833999999911e+01 1.399999999999999911e+00 -1.728956110831434412e-01
1.191656973000000086e+01 1.051656973000000050e+01 1.399999999999999911e+00 -1.728966407428097207e-01
1.190465112000000047e+01 1.050465112000000012e+01 1.399999999999999911e+00 -1.728976721131784688e-01
1.189273250999999831e+01 1.049273250999999973e+01 1.399999999999999689e+00 -1.728987051417253118e-01
1.188081389999999971e+01 1.048081389999999935e+01 1.399999999999999911e+00 -1.728997398165590393e-01
1.186889529000000110e+01 1.046889529000000074e+01 1.399999999999999911e+00 -1.729007761568004398e-01
1.185697667999999894e+01 1.045697667999999858e+01 1.399999999999999911e+00 -1.729018141824844035e-01
1.184505806999999855e+01 1.044505806999999997e+01 1.399999999999999911e+00 -1.729028539138090237e-01
1.183313945999999994e+01 1.043313945999999959e+01 1.399999999999999689e+00 -1.729038953711369841e-01
1.182122085000000133e+01 1.042122085000000276e+01 1.399999999999999911e+00 -1.729049385749965029e-01
1.180930223999999917e+01 1.040930223999999882e+01 1.399999999999999911e+00 -1.729059835460827199e-01
1.179738362999999879e+01 1.039738363000000021e+01 1.399999999999999911e+00 -1.729070303052585300e-01
1.178546502000000018e+01 1.038546501999999983e+01 1.399999999999999911e+00 -1.729080788735559981e-01
1.177354640999999980e+01 1.037354641000000122e+01 1.399999999999999689e+00 -1.729091292721774142e-01
1.176162779999999941e+01 1.036162780000000083e+01 1.399999999999999911e+00 -1.729101815224962924e-01
1.174970918999999903e+01 1.034970918999999867e+01 1.399999999999999911e+00 -1.729112356460588695e-01
1.173779057999999864e+01 1.033779058000000006e+01 1.399999999999999911e+00 -1.729122916645848829e-01
1.172587197000000003e+01 1.032587197000000145e+01 1.399999999999999911e+00 -1.729133495999689851e-01
1.171395335999999965e+01 1.031395335999999929e+01 1.399999999999999689e+00 -1.729144094742817162e-01
1.170203474999999926e+01 1.030203475000000068e+01 1.399999999999999911e+00 -1.729154713097706964e-01
1.169011613999999888e+01 1.029011614000000030e+01 1.399999999999999911e+00 -1.729165351288618757e-01
1.167819753000000027e+01 1.027819752999999992e+01 1.399999999999999911e+00 -1.729176009541605608e-01
1.166627891999999989e+01 1.026627891999999953e+01 1.399999999999999911e+00 -1.729186688084525525e-01
1.165436030999999772e+01 1.025436030999999915e+01 1.399999999999999689e+00 -1.729197387147054232e-01
1.164244169999999912e+01 1.024244169999999876e+01 1.399999999999999911e+00 -1.729208106960693214e-01
1.163052309000000051e+01 1.023052309000000193e+01 1.399999999999999911e+00 -1.729218847758785815e-01
1.161860448000000012e+01 1.021860448000000154e+01 1.399999999999999689e+00 -1.729229609776524457e-01
1.160668586999999796e+01 1.020668586999999938e+01 1.399999999999999911e+00 -1.729240393250963403e-01
1.159476725999999935e+01 1.019476726000000077e+01 1.399999999999999689e+00 -1.729251198421030700e-01
1.158284865000000075e+01 1.018284865000000039e+01 1.399999999999999911e+00 -1.729262025527537050e-01
1.157093004000000036e+01 1.017093004000000001e+01 1.399999999999999911e+00 -1.729272874813189698e-01
1.155901142999999998e+01 1.015901142999999962e+01 1.399999999999999911e+00 -1.729283746522600751e-01
1.154709282000000137e+01 1.014709282000000101e+01 1.400000000000000133e+00 -1.729294640902300229e-01
1.153517421000000098e+01 1.013517421000000063e+01 1.399999999999999911e+00 -1.729305558200745496e-01
1.152325560000000060e+01 1.012325560000000202e+01 1.399999999999999911e+00 -1.729316498668331814e-01
