# r12 r13 r23 energy(Hartree)
1.200000000000000000e+01 1.081025191347744929e+01 1.399999999999999911e+00 -1.728790794580396528e-01
1.198808138999999962e+01 1.079835834464725508e+01 1.399999999999999911e+00 -1.728800801681430466e-01
1.197616277999999923e+01 1.078646483109790033e+01 1.399999999999999911e+00 -1.728810836769442971e-01
1.196424417000000062e+01 1.077457137301244927e+01 1.399999999999999911e+00 -1.728820899492966301e-01
1.195232556000000024e+01 1.076267797057477438e+01 1.399999999999999911e+00 -1.728830989493108095e-01
1.194040694999999985e+01 1.075078462396956169e+01 1.399999999999999911e+00 -1.728841106403440631e-01
1.192848833999999947e+01 1.073889133338231616e+01 1.399999999999999911e+00 -1.728851249849891192e-01
1.191656973000000086e+01 1.072699809899936696e+01 1.399999999999999911e+00 -1.728861419450627435e-01
1.190465112000000047e+01 1.071510492100785861e+01 1.399999999999999911e+00 -1.728871614815944702e-01
1.189273250999999831e+01 1.070321179959577762e+01 1.399999999999999689e+00 -1.728881835548150558e-01
1.188081389999999971e+01 1.069131873495194363e+01 1.399999999999999911e+00 -1.728892081241444056e-01
1.186889529000000110e+01 1.067942572726601647e+01 1.399999999999999911e+00 -1.728902351481801658e-01
1.185697667999999894e+01 1.066753277672849443e+01 1.399999999999999911e+00 -1.728912645846851781e-01
1.184505806999999855e+01 1.065563988353073377e+01 1.399999999999999911e+00 -1.728922963905754895e-01
1.183313945999999994e+01 1.064374704786494341e+01 1.399999999999999689e+00 -1.728933305219078065e-01
1.182122085000000133e+01 1.063185426992418847e+01 1.399999999999999911e+00 -1.728943669338668110e-01
1.180930223999999917e+01 1.061996154990239560e+01 1.399999999999999911e+00 -1.728954055807526424e-01
1.179738362999999879e+01 1.060806888799436898e+01 1.399999999999999911e+00 -1.728964464159676029e-01
1.178546502000000018e+01 1.059617628439577963e+01 1.399999999999999911e+00 -1.728974893920031952e-01
1.177354640999999980e+01 1.058428373930317790e+01 1.399999999999999689e+00 -1.728985344604267727e-01
1.176162779999999941e+01 1.057239125291400050e+01 1.399999999999999911e+00 -1.728995815718677442e-01
1.174970918999999903e+01 1.056049882542656526e+01 1.399999999999999911e+00 -1.729006306760043077e-01
1.173779057999999864e+01 1.054860645704009592e+01 1.399999999999999911e+00 -1.729016817215490720e-01
1.172587197000000003e+01 1.053671414795470440e+01 1.399999999999999911e+00 -1.729027346562352074e-01
1.171395335999999965e+01 1.052482189837140503e+01 1.399999999999999689e+00 -1.729037894268019848e-01
1.170203474999999926e+01 1.051292970849212693e+01 1.399999999999999911e+00 -1.729048459789802317e-01
1.169011613999999888e+01 1.050103757851971231e+01 1.399999999999999911e+00 -1.729059042574776772e-01
1.167819753000000027e+01 1.048914550865791817e+01 1.399999999999999911e+00 -1.729069642155693365e-01
1.166627891999999989e+01 1.047725349911142878e+01 1.399999999999999911e+00 -1.729080258558026995e-01
